ObjID,ra,dec,g
1237666299433587294,299.998932,-1.00156222,23.950169
1237666299433586794,299.99699023,-0.99926895,23.318951
1237666299433582977,300.00291154,-0.9972624,16.399271
1237666299433582999,300.00428261,-0.99917344,25.410149
1237666299433583997,299.99740577,-1.00442938,20.26952
1237666299433586068,300.00302894,-1.00307775,21.542328
1237666299433582852,299.99487867,-1.00175013,16.427845
1237666299433583998,299.99987003,-1.00623651,23.967403
1237666299433583999,299.99859739,-1.00571382,22.14876
1237666299433586018,299.99700814,-0.99442217,21.83235
1237666299433586020,299.99917428,-0.99402556,22.06876
1237666299433586024,299.99924997,-0.99370159,25.621082
1237666299433586033,299.99497561,-0.99724776,20.957827
1237666299433586062,300.00184993,-1.00612224,21.434093
1237666299433582853,299.9929009,-1.00051411,19.030664
1237666299433582854,299.99335683,-1.00246306,22.47336
1237666299433582978,300.00781446,-0.99978855,18.392921
1237666299433582980,300.00658184,-0.9944873,25.114437
1237666299433582990,300.00521769,-1.00516771,22.511938
1237666299433582997,300.0040355,-0.994928,25.123446
1237666299433583001,300.00627983,-1.00260462,24.822405
1237666299433583006,300.00668359,-1.00289028,26.898077
1237666299433583996,299.99643633,-1.00607458,18.686029
1237666299433584094,300.00326307,-1.00785954,21.481798
1237666299433585292,299.99092254,-0.99914213,22.857895
1237666299433586015,299.99479987,-0.99372485,24.116642
1237666299433586016,299.99672833,-0.99341239,22.79084
1237666299433586022,299.99861201,-0.99173712,26.369883
1237666299433586023,299.99764949,-0.99303,24.637285
1237666299433586034,299.99352691,-0.99654355,22.641718
1237666299433582976,300.0112284,-0.99595749,11.699071
1237666299433582983,300.00867788,-0.99646422,16.296629
1237666299433582986,300.011331,-1.00343016,21.651878
1237666299433582987,300.00721079,-0.98836133,20.283762
1237666299433582989,300.00812783,-1.00446604,20.999859
1237666299433582991,300.008109,-0.99314262,27.869471
1237666299433582992,300.01218038,-0.99991722,21.650566
1237666299433583004,300.01272452,-1.00252157,22.833126
1237666299433583979,299.99597409,-0.9874432,19.022665
1237666299433583984,299.99819517,-0.98821317,21.174971
1237666299433583988,299.99538159,-0.98882625,21.907862
1237666299433584062,300.00154847,-0.98644352,23.502232
1237666299433584090,300.0074343,-1.00800911,18.353792
1237666299433584091,300.00511932,-1.00917484,18.58857
1237666299433584092,300.00770071,-1.0093083,22.069574
1237666299433584093,300.00588742,-1.01002151,21.585598
1237666299433585274,299.9865468,-0.99802707,21.942715
1237666299433585291,299.9905911,-0.99752546,19.371027
1237666299433585316,299.99403826,-1.00956017,19.574034
1237666299433585336,299.99985779,-1.01058241,19.502834
1237666299433585337,299.99939543,-1.00994542,22.714941
1237666299433585994,299.98859103,-1.00434127,21.636215
1237666299433585995,299.98748632,-1.00401995,22.336262
1237666299433586014,299.99292177,-0.99414908,20.208473
1237666299433586017,299.9932071,-0.98900829,21.515417
1237666299433586019,299.99192546,-0.9892821,21.912828
1237666299433586021,299.99257279,-0.99075827,24.225874
1237666299433586025,299.99190609,-0.99270108,23.554585
1237666299433586039,299.9965955,-1.00891951,22.005249
1237666299433586066,300.00331787,-1.01135195,21.386951
1237666299433586067,300.00416398,-1.0123752,22.615786
1237666299433587280,299.99080477,-1.00715312,26.663219
1237666299433582889,300.00213307,-1.01767046,21.996059
1237666299433582892,299.9982079,-1.01896693,24.10404
1237666299433582979,300.0142112,-0.99551407,19.489666
1237666299433582981,300.00865614,-0.98868132,19.389145
1237666299433582982,300.01447246,-0.99808597,22.62993
1237666299433582984,300.01518521,-0.99859689,19.445641
1237666299433582985,300.01315711,-0.99329955,17.620342
1237666299433582988,300.0128969,-0.99526896,25.114384
1237666299433582993,300.01527411,-0.99097159,25.114338
1237666299433582994,300.01810057,-0.99613156,23.372684
1237666299433582995,300.00852324,-0.98661463,25.200584
1237666299433582996,300.01013563,-0.98922924,25.048374
1237666299433582998,300.01720519,-0.99591521,26.317774
1237666299433583002,300.01720335,-0.99713674,25.159401
1237666299433583003,300.01435538,-0.98772214,25.950193
1237666299433583005,300.01209326,-0.98975401,25.438814
1237666299433583921,299.98651406,-1.01346239,19.243633
1237666299433583959,299.99199391,-1.01527361,18.804577
1237666299433583960,299.9936016,-1.01696458,19.368462
